studentId,title,firstName,lastName,birthDate,school,email
69050001,Mr.,Somsak,Rakrian,2008-05-20,Triam Udom Suksa School,somsak.r@example.com
69050002,Ms.,Manee,Odtorn,2009-01-15,Mahidol Wittayanusorn School,manee.o@example.com
69050003,Master,Piti,Chujai,2011-08-10,Suankularb Wittayalai School,piti.c@example.com
69050004,Ms.,Somsri,Khaengkhan,2008-11-05,Satriwitthaya School,somsri.k@example.com
69050005,Mr.,Wicha,Kengkat,2007-02-25,Bodindecha School,wicha.k@example.com
69050006,Mr.,Teera,Mungman,2008-06-01,Debsirin School,teera.m@example.com
69050007,Ms.,Kanda,Yimyam,2009-03-30,Patumwan Demonstration School,kanda.y@example.com
69050008,Mr.,Ake,Phakphian,2008-09-12,Assumption College,ake.p@example.com
69050009,Ms.,Fahsai,Rarueng,2007-07-07,Mater Dei School,fahsai.r@example.com
69050010,Mr.,Veera,Klahan,2008-04-18,Bangkok Christian College,veera.k@example.com
